message,timestamp,severity,tags,attributes
"UndefinedVar: Usage of undefined variable '$NIXPACKS_PATH' (line 18)(https://docs.docker.com/go/dockerfile/rule/undefined-var/)
 details: Variables should be defined before their use
",2026-03-05T12:57:37.324314135Z,warn,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""warn"",""range"":[{""end"":{""line"":18},""start"":{""line"":18}}],""source"":""buildkit"",""sourceInfo"":{""data"":""RlJPTSBnaGNyLmlvL3JhaWx3YXlhcHAvbml4cGFja3M6dWJ1bnR1LTE3NDU4ODUwNjcKCkVOVFJZUE9JTlQgWyIvYmluL2Jhc2giLCAiLWwiLCAiLWMiXQpXT1JLRElSIC9hcHAvCgoKQ09QWSAubml4cGFja3Mvbml4cGtncy1mZmVlYmYwYWNmM2FlOGIyOWY4YzcwNDljZDkxMWI5NjM2ZWZkN2U3Lm5peCAubml4cGFja3Mvbml4cGtncy1mZmVlYmYwYWNmM2FlOGIyOWY4YzcwNDljZDkxMWI5NjM2ZWZkN2U3Lm5peApSVU4gbml4LWVudiAtaWYgLm5peHBhY2tzL25peHBrZ3MtZmZlZWJmMGFjZjNhZThiMjlmOGM3MDQ5Y2Q5MTFiOTYzNmVmZDdlNy5uaXggJiYgbml4LWNvbGxlY3QtZ2FyYmFnZSAtZAoKCkFSRyBDSSBOSVhQQUNLU19NRVRBREFUQSBOT0RFX0VOViBOUE1fQ09ORklHX1BST0RVQ1RJT04gUkFJTFdBWV9FTlZJUk9OTUVOVCBSQUlMV0FZX0VOVklST05NRU5UX0lEIFJBSUxXQVlfRU5WSVJPTk1FTlRfTkFNRSBSQUlMV0FZX0dJVF9BVVRIT1IgUkFJTFdBWV9HSVRfQlJBTkNIIFJBSUxXQVlfR0lUX0NPTU1JVF9NRVNTQUdFIFJBSUxXQVlfR0lUX0NPTU1JVF9TSEEgUkFJTFdBWV9HSVRfUkVQT19OQU1FIFJBSUxXQVlfR0lUX1JFUE9fT1dORVIgUkFJTFdBWV9QUklWQVRFX0RPTUFJTiBSQUlMV0FZX1BST0pFQ1RfSUQgUkFJTFdBWV9QUk9KRUNUX05BTUUgUkFJTFdBWV9QVUJMSUNfRE9NQUlOIFJBSUxXQVlfU0VSVklDRV9BVFRFTkRBTkNFX1NZU1RFTV9VUkwgUkFJTFdBWV9TRVJWSUNFX0lEIFJBSUxXQVlfU0VSVklDRV9OQU1FIFJBSUxXQVlfU1RBVElDX1VSTApFTlYgQ0k9JENJIE5JWFBBQ0tTX01FVEFEQVRBPSROSVhQQUNLU19NRVRBREFUQSBOT0RFX0VOVj0kTk9ERV9FTlYgTlBNX0NPTkZJR19QUk9EVUNUSU9OPSROUE1fQ09ORklHX1BST0RVQ1RJT04gUkFJTFdBWV9FTlZJUk9OTUVOVD0kUkFJTFdBWV9FTlZJUk9OTUVOVCBSQUlMV0FZX0VOVklST05NRU5UX0lEPSRSQUlMV0FZX0VOVklST05NRU5UX0lEIFJBSUxXQVlfRU5WSVJPTk1FTlRfTkFNRT0kUkFJTFdBWV9FTlZJUk9OTUVOVF9OQU1FIFJBSUxXQVlfR0lUX0FVVEhPUj0kUkFJTFdBWV9HSVRfQVVUSE9SIFJBSUxXQVlfR0lUX0JSQU5DSD0kUkFJTFdBWV9HSVRfQlJBTkNIIFJBSUxXQVlfR0lUX0NPTU1JVF9NRVNTQUdFPSRSQUlMV0FZX0dJVF9DT01NSVRfTUVTU0FHRSBSQUlMV0FZX0dJVF9DT01NSVRfU0hBPSRSQUlMV0FZX0dJVF9DT01NSVRfU0hBIFJBSUxXQVlfR0lUX1JFUE9fTkFNRT0kUkFJTFdBWV9HSVRfUkVQT19OQU1FIFJBSUxXQVlfR0lUX1JFUE9fT1dORVI9JFJBSUxXQVlfR0lUX1JFUE9fT1dORVIgUkFJTFdBWV9QUklWQVRFX0RPTUFJTj0kUkFJTFdBWV9QUklWQVRFX0RPTUFJTiBSQUlMV0FZX1BST0pFQ1RfSUQ9JFJBSUxXQVlfUFJPSkVDVF9JRCBSQUlMV0FZX1BST0pFQ1RfTkFNRT0kUkFJTFdBWV9QUk9KRUNUX05BTUUgUkFJTFdBWV9QVUJMSUNfRE9NQUlOPSRSQUlMV0FZX1BVQkxJQ19ET01BSU4gUkFJTFdBWV9TRVJWSUNFX0FUVEVOREFOQ0VfU1lTVEVNX1VSTD0kUkFJTFdBWV9TRVJWSUNFX0FUVEVOREFOQ0VfU1lTVEVNX1VSTCBSQUlMV0FZX1NFUlZJQ0VfSUQ9JFJBSUxXQVlfU0VSVklDRV9JRCBSQUlMV0FZX1NFUlZJQ0VfTkFNRT0kUkFJTFdBWV9TRVJWSUNFX05BTUUgUkFJTFdBWV9TVEFUSUNfVVJMPSRSQUlMV0FZX1NUQVRJQ19VUkwKCiMgc2V0dXAgcGhhc2UKIyBub29wCgojIGluc3RhbGwgcGhhc2UKRU5WIE5JWFBBQ0tTX1BBVEg9L2FwcC9ub2RlX21vZHVsZXMvLmJpbjokTklYUEFDS1NfUEFUSApDT1BZIC4gL2FwcC8uClJVTiAtLW1vdW50PXR5cGU9Y2FjaGUsaWQ9cy80NzE3ZDMzMC1jNTU0LTRlNmEtYjc2OC1lNTg3OTdiNmRkY2UtL3Jvb3QvbnBtLHRhcmdldD0vcm9vdC8ubnBtIG5wbSBpCgojIGJ1aWxkIHBoYXNlCkNPUFkgLiAvYXBwLy4KUlVOIC0tbW91bnQ9dHlwZT1jYWNoZSxpZD1zLzQ3MTdkMzMwLWM1NTQtNGU2YS1iNzY4LWU1ODc5N2I2ZGRjZS1ub2RlX21vZHVsZXMvY2FjaGUsdGFyZ2V0PS9hcHAvbm9kZV9tb2R1bGVzLy5jYWNoZSBucG0gaW5zdGFsbCAmJiBjZCBleHRyYWN0ZWQvYXBwICYmIG5wbSBpbnN0YWxsICYmIG5wbSBydW4gYnVpbGQgJiYgY2QgLi4vc2VydmVyICYmIG5wbSBpbnN0YWxsICYmIG5wbSBydW4gYnVpbGQKCgpSVU4gcHJpbnRmICdcblBBVEg9L2FwcC9ub2RlX21vZHVsZXMvLmJpbjokUEFUSCcgPj4gL3Jvb3QvLnByb2ZpbGUKCgojIHN0YXJ0CkNPUFkgLiAvYXBwCgpDTUQgWyJjZCBleHRyYWN0ZWQvc2VydmVyICYmIG5wbSBydW4gc3RhcnQiXQoK"",""definition"":{""Source"":{""locations"":{""sha256:865e0a9a7ee8cfda03940bf7f4066256f3005d4d0eaf31ecf40fd65e60f2ae2a"":{}}},""def"":[""WgAaxQEKEmxvY2FsOi8vZG9ja2VyZmlsZRIUCgxsb2NhbC5kaWZmZXISBG5vbmUSSgoRbG9jYWwuZm9sbG93cGF0aHMSNVsiRG9ja2VyZmlsZSIsIkRvY2tlcmZpbGUuZG9ja2VyaWdub3JlIiwiZG9ja2VyZmlsZSJdEioKDWxvY2FsLnNlc3Npb24SGWpqeTlkZ2J4YWFrcDF2c2Myd3c2ZzJsb2wSIQoTbG9jYWwuc2hhcmVka2V5aGludBIKZG9ja2VyZmlsZQ=="",""CkkKR3NoYTI1Njo4NjVlMGE5YTdlZThjZmRhMDM5NDBiZjdmNDA2NjI1NmYzMDA1ZDRkMGVhZjMxZWNmNDBmZDY1ZTYwZjJhZTJh""],""metadata"":{""sha256:3ffbe0e54a02bd091088c8c958bd9f02ef864c8662e449914ffb253e50844604"":{""caps"":{""constraints"":true,""meta.description"":true,""platform"":true}},""sha256:865e0a9a7ee8cfda03940bf7f4066256f3005d4d0eaf31ecf40fd65e60f2ae2a"":{""caps"":{""source.local"":true,""source.local.followpaths"":true,""source.local.sessionid"":true,""source.local.sharedkeyhint"":true},""description"":{""llb.customname"":""[internal] load build definition from Dockerfile""}}}},""filename"":""Dockerfile"",""language"":""Dockerfile""},""type"":""warn"",""vertex"":""sha256:865e0a9a7ee8cfda03940bf7f4066256f3005d4d0eaf31ecf40fd65e60f2ae2a""}"
[stage-0 10/10] COPY . /app,2026-03-05T12:57:37.326808717Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:d8a97846717a3a8a510b9f0a3b0fa91c80a6e254028cd9f2e093605a2ef4dcad"",""inputs"":[""sha256:17e287899da4c83f36561d14165bc3e19e060d551303869272358ea097c13078"",""sha256:3abbf6dc3a2130aa4774feb0ca4b8bd7733ba644e53de559199d783f061696ee""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[stage-0  9/10] RUN printf '\nPATH=/app/node_modules/.bin:$PATH' >> /root/.profile,2026-03-05T12:57:37.326813947Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:17e287899da4c83f36561d14165bc3e19e060d551303869272358ea097c13078"",""inputs"":[""sha256:7fd8f6f4aa29cd754bdb7c7deaea49ea88bbf57d0895649032330d4f7cd45338""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
"[stage-0  8/10] RUN --mount=type=cache,id=s/4717d330-c554-4e6a-b768-e58797b6ddce-node_modules/cache,target=/app/node_modules/.cache npm install && cd extracted/app && npm install && npm run build && cd ../server && npm install && npm run build",2026-03-05T12:57:37.326814947Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:7fd8f6f4aa29cd754bdb7c7deaea49ea88bbf57d0895649032330d4f7cd45338"",""inputs"":[""sha256:9e66023a852db103f219a7cb4b72d3e51fde13eafc13c41859c2f5ec0a5e8fc1""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[stage-0  7/10] COPY . /app/.,2026-03-05T12:57:37.326815747Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:9e66023a852db103f219a7cb4b72d3e51fde13eafc13c41859c2f5ec0a5e8fc1"",""inputs"":[""sha256:e3288bb14833133d53e1fc0654d78de8bc288f9a36801bf6bef72400473dd967"",""sha256:3abbf6dc3a2130aa4774feb0ca4b8bd7733ba644e53de559199d783f061696ee""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
"[stage-0  6/10] RUN --mount=type=cache,id=s/4717d330-c554-4e6a-b768-e58797b6ddce-/root/npm,target=/root/.npm npm i",2026-03-05T12:57:37.326816237Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e3288bb14833133d53e1fc0654d78de8bc288f9a36801bf6bef72400473dd967"",""inputs"":[""sha256:0992ccdbc09d5e5b7d9826eef94bce721015276f0e033828283bb8b1764d071e""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[stage-0  5/10] COPY . /app/.,2026-03-05T12:57:37.326816607Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:0992ccdbc09d5e5b7d9826eef94bce721015276f0e033828283bb8b1764d071e"",""inputs"":[""sha256:3ba3fbb896a03c78e4e186b47654a88d0af9d8770c6b758548e430e092740734"",""sha256:3abbf6dc3a2130aa4774feb0ca4b8bd7733ba644e53de559199d783f061696ee""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[stage-0  4/10] RUN nix-env -if .nixpacks/nixpkgs-ffeebf0acf3ae8b29f8c7049cd911b9636efd7e7.nix && nix-collect-garbage -d,2026-03-05T12:57:37.326816927Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:3ba3fbb896a03c78e4e186b47654a88d0af9d8770c6b758548e430e092740734"",""inputs"":[""sha256:f34831990c3d137a1eb8ccf16ea0814f5a41dc6e24ac7266bfcfb065dab5dc3e""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[stage-0  3/10] COPY .nixpacks/nixpkgs-ffeebf0acf3ae8b29f8c7049cd911b9636efd7e7.nix .nixpacks/nixpkgs-ffeebf0acf3ae8b29f8c7049cd911b9636efd7e7.nix,2026-03-05T12:57:37.326817237Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:f34831990c3d137a1eb8ccf16ea0814f5a41dc6e24ac7266bfcfb065dab5dc3e"",""inputs"":[""sha256:f670359d6d5e72ee98e62c39bc177c05bc19525660e55bc32515f2fc07e6759e"",""sha256:3abbf6dc3a2130aa4774feb0ca4b8bd7733ba644e53de559199d783f061696ee""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build context,2026-03-05T12:57:37.326817567Z,info,"{""serviceId"":""4717d330-c554-4e6a-b768-e58797b6ddce"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:3abbf6dc3a2130aa4774feb0ca4b8bd7733ba644e53de559199d783f061696ee"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
